campo,valor_original,valor_original_limpo,valor_normalizado,categoria,confianca,acao_recomendada,justificativa,aplicar_automaticamente,lote
tipo_estudo_futuro,Análise Prospectiva e de Tendências,analise prospectiva e de tendencias,Análise Prospectiva e de Tendências,"Estudo Prospectivo, Análise de Tendências",alta,manter original,"Combina dois conceitos distintos, manter para preservar granularidade.",True,1
tipo_estudo_futuro,Análise de Cenários,analise de cenarios,Cenários Prospectivos,Cenários,alta,aplicar automático,Sinônimo direto de Cenários Prospectivos.,True,1
tipo_estudo_futuro,"Análise de Megatendências, Revisão de Literatura sobre o Futuro","analise de megatendencias, revisao de literatura sobre o futuro",Análise de Megatendências e Revisão de Literatura,"Análise de Tendências, Revisão de Literatura",alta,aplicar automático,Padronizar conectivo e remover 'sobre o Futuro' por ser implícito no contexto.,True,1
tipo_estudo_futuro,Análise de Tendências e Cenários,analise de tendencias e cenarios,Análise de Tendências e Cenários Prospectivos,"Análise de Tendências, Cenários",alta,aplicar automático,Padronizar 'Cenários' para 'Cenários Prospectivos'.,True,1
tipo_estudo_futuro,"Análise de Tendências e Sinais, Cenários","analise de tendencias e sinais, cenarios","Análise de Tendências, Análise de Sinais e Cenários Prospectivos","Análise de Tendências, Análise de Sinais, Cenários",alta,aplicar automático,Separar 'Sinais' como 'Análise de Sinais' e padronizar 'Cenários'.,True,1
tipo_estudo_futuro,Análise de tendências setoriais,analise de tendencias setoriais,Análise de Tendências Setoriais,Análise de Tendências,alta,aplicar automático,Padronizar caixa.,True,1
tipo_estudo_futuro,Cenarização,cenarizacao,Cenários Prospectivos,Cenários,alta,aplicar automático,"Processo de criação de cenários, agrupado sob o tipo de estudo.",True,1
tipo_estudo_futuro,Cenário de crescimento,cenario de crescimento,Cenários Prospectivos,Cenários,alta,aplicar automático,"Tipo específico de cenário, agrupado sob o conceito geral.",True,1
tipo_estudo_futuro,Cenário; Prospectivo; Planejamento,cenario; prospectivo; planejamento,Cenários Prospectivos e Planejamento,"Cenários, Planejamento",alta,aplicar automático,Padronizar termos e conectivos.,True,1
tipo_estudo_futuro,Cenários,cenarios,Cenários Prospectivos,Cenários,alta,aplicar automático,Generalizar para o termo completo e mais específico no contexto de futuro.,True,1
tipo_estudo_futuro,Cenários Prospectivos,cenarios prospectivos,Cenários Prospectivos,Cenários,alta,manter original,Valor já normalizado e adequado.,True,1
tipo_estudo_futuro,Cenários de longo prazo,cenarios de longo prazo,Cenários Prospectivos,Cenários,alta,aplicar automático,"Tipo específico de cenário, agrupado sob o conceito geral.",True,1
tipo_estudo_futuro,Cenários e Projeções,cenarios e projecoes,Cenários Prospectivos e Projeção,"Cenários, Projeção",alta,aplicar automático,Padronizar 'Cenários' e 'Projeções' para singular.,True,1
tipo_estudo_futuro,"Cenários prospectivos, Análises prospectivas","cenarios prospectivos, analises prospectivas",Cenários Prospectivos,Cenários,alta,aplicar automático,"Análises prospectivas é um termo mais amplo que engloba Cenários Prospectivos, priorizar o mais específico.",True,1
tipo_estudo_futuro,"Cenários, Modelagem, Predição, Simulação","cenarios, modelagem, predicao, simulacao","Cenários Prospectivos, Modelagem e Simulação","Cenários, Modelagem, Simulação",alta,aplicar automático,Padronizar 'Cenários' e agrupar 'Predição' com 'Modelagem/Simulação'.,True,1
tipo_estudo_futuro,"Cenários, Visão de Futuro","cenarios, visao de futuro",Cenários Prospectivos e Visão de Futuro,"Cenários, Visão de Futuro",alta,aplicar automático,Padronizar 'Cenários' e conectivo.,True,1
tipo_estudo_futuro,Construção de Cenários e Previsões de Demanda,construcao de cenarios e previsoes de demanda,Cenários Prospectivos e Previsão de Demanda,"Cenários, Projeção",alta,aplicar automático,Padronizar 'Cenários' e 'Previsões' para singular.,True,1
tipo_estudo_futuro,Desenvolvimento de Agenda Propositiva,desenvolvimento de agenda propositiva,Desenvolvimento de Agenda Propositiva,Planejamento,alta,manter original,Valor específico e adequado.,True,1
tipo_estudo_futuro,Ensaio Prospectivo,ensaio prospectivo,Estudo Prospectivo,Estudo Prospectivo,alta,aplicar automático,Generalizar 'Ensaio' para 'Estudo'.,True,1
tipo_estudo_futuro,Estudo de Cenários,estudo de cenarios,Cenários Prospectivos,Cenários,alta,aplicar automático,Sinônimo direto de Cenários Prospectivos.,True,1
tipo_estudo_futuro,"Estudo de Cenários, Visão de Futuro","estudo de cenarios, visao de futuro",Cenários Prospectivos e Visão de Futuro,"Cenários, Visão de Futuro",alta,aplicar automático,Padronizar 'Estudo de Cenários' e conectivo.,True,1
tipo_estudo_futuro,Estudo de Sinais e Cenários Prospectivos,estudo de sinais e cenarios prospectivos,Análise de Sinais e Cenários Prospectivos,"Análise de Sinais, Cenários",alta,aplicar automático,Padronizar 'Estudo de Sinais' para 'Análise de Sinais'.,True,1
tipo_estudo_futuro,Estudo exploratório de cenários,estudo exploratorio de cenarios,Cenários Prospectivos,Cenários,alta,aplicar automático,"Tipo específico de cenário, agrupado sob o conceito geral.",True,1
tipo_estudo_futuro,Estudo prospectivo de metas e ações,estudo prospectivo de metas e acoes,Estudo Prospectivo de Metas e Ações,Estudo Prospectivo,alta,aplicar automático,Padronizar caixa.,True,1
tipo_estudo_futuro,Estudos Prospectivos e Cenários,estudos prospectivos e cenarios,Cenários Prospectivos,Cenários,alta,aplicar automático,"Cenários Prospectivos é um tipo de Estudo Prospectivo, priorizar o mais específico.",True,1
