valor_original,valor_normalizado
Análise Prospectiva e de Tendências,Cenários Prospectivos
Análise de Cenários,Cenários Prospectivos
"Análise de Megatendências, Revisão de Literatura sobre o Futuro","Análise de Megatendências, Revisão de Literatura sobre o Futuro"
Análise de Tendências e Cenários,Cenários Prospectivos
"Análise de Tendências e Sinais, Cenários",Cenários Prospectivos
Análise de tendências setoriais,Análise de tendências setoriais
Cenarização,Cenarização
Cenário de crescimento,Cenários Prospectivos
Cenário; Prospectivo; Planejamento,Cenários Prospectivos
Cenários,Cenários Prospectivos
Cenários Prospectivos,Cenários Prospectivos
Cenários de longo prazo,Cenários Prospectivos
Cenários e Projeções,Cenários Prospectivos
"Cenários prospectivos, Análises prospectivas",Cenários Prospectivos
"Cenários, Modelagem, Predição, Simulação",Cenários Prospectivos
"Cenários, Visão de Futuro",Cenários Prospectivos
Construção de Cenários e Previsões de Demanda,Cenários Prospectivos
Desenvolvimento de Agenda Propositiva,Desenvolvimento de Agenda Propositiva
Ensaio Prospectivo,Cenários Prospectivos
Estudo de Cenários,Cenários Prospectivos
"Estudo de Cenários, Visão de Futuro",Cenários Prospectivos
Estudo de Sinais e Cenários Prospectivos,Cenários Prospectivos
Estudo exploratório de cenários,Cenários Prospectivos
Estudo prospectivo de metas e ações,Cenários Prospectivos
Estudos Prospectivos e Cenários,Cenários Prospectivos
"Foresight, Anticipatory Governance",Cenários Prospectivos
"Foresight, Governança Antecipatória, Foresight Estratégico",Cenários Prospectivos
Megatendências,Megatendências
Modelagem integrada de cenários,Cenários Prospectivos
,
Planejamento Estratégico,Planejamento Estratégico
Planejamento Estratégico Prospectivo,Cenários Prospectivos
Planejamento Estratégico de Longo Prazo,Planejamento Estratégico de Longo Prazo
"Planejamento Estratégico, Estudo de Cenários, Projeções",Cenários Prospectivos
Planejamento estratégico,Planejamento estratégico
Planejamento prospectivo,Cenários Prospectivos
Planejamento prospectivo de intervenções e investimentos,Cenários Prospectivos
"Planejamento, Cenários, Projeções",Cenários Prospectivos
Plano,Plano
Plano Estratégico,Plano Estratégico
"Plano Estratégico de Desenvolvimento de Longo Prazo, Visão de Futuro, Estudos de Cenários",Cenários Prospectivos
Plano Estratégico de Longo Prazo,Plano Estratégico de Longo Prazo
Plano de Desenvolvimento Integrado,Plano de Desenvolvimento Integrado
Prognóstico,Prognóstico
Projeção,Projeção
"Projeção Econômica, Planejamento Estratégico","Projeção Econômica, Planejamento Estratégico"
"Projeção demográfica, Cenários",Cenários Prospectivos
Projeção econômica,Projeção econômica
"Projeção, Análise de Cenários, Modelagem",Cenários Prospectivos
"Projeção, Cenário",Cenários Prospectivos
"Projeção, Cenários",Cenários Prospectivos
"Projeção, Cenários Prospectivos",Cenários Prospectivos
"Projeção, Modelagem","Projeção, Modelagem"
"Projeção, Modelagem Econômica, Análise de Cenários",Cenários Prospectivos
Projeções,Projeções
Projeções e Cenários,Cenários Prospectivos
"Projeções, Cenários",Cenários Prospectivos
"Prospectiva Estratégica, Planejamento por Cenários",Cenários Prospectivos
Prospecção,Prospecção
Prospecção Estratégica,Prospecção Estratégica
Prospecção de Cenários,Cenários Prospectivos
Prospecção de políticas,Prospecção de políticas
Scenarios,Cenários Prospectivos
Signals scanning,Signals scanning
Simulação de Cenários,Cenários Prospectivos
Strategic Foresight,Cenários Prospectivos
Strategic foresight,Cenários Prospectivos
Strategic planning,Strategic planning
Visão,Visão
Visão Estratégica,Visão Estratégica
Visão de Futuro,Visão de Futuro
"['Estudo de Cenários', 'Visão de Futuro']",Cenários Prospectivos
"['Planejamento Estratégico', 'Projeção de Metas']","['Planejamento Estratégico', 'Projeção de Metas']"
prospectiva estratégica,Cenários Prospectivos
