valor_original,cluster,categoria,confianca
Ataques do Governo Federal a instituições públicas,Ataques a instituições democráticas,Institucional,0.98
Aumento da desigualdade de gênero e racial,Aumento das desigualdades sociais,Social,0.98
Aumento do uso e descarte incorreto de materiais plásticos,Poluição por plásticos,Ambiental,0.98
Conflitos entre diferentes níveis de governo,Conflitos intergovernamentais,Político,0.95
"Crises políticas, econômicas e ambientais existentes, agravadas pela COVID-19",Crises multifacetadas agravadas pela pandemia,Político,0.95
Degradação do ecossistema como causa de zoonoses,Degradação ambiental e saúde,Ambiental,0.98
Deslegitimação do multilateralismo e da ciência pelo Governo Federal,Deslegitimação da ciência e cooperação internacional,Político,0.95
Desrespeito do Governo Federal aos poderes Legislativo e Judiciário,Desrespeito aos poderes democráticos,Institucional,0.98
Falta de dados e indicadores confiáveis para medir metas dos ODS (ex: Censo 2020 adiado),Falta de dados e monitoramento,Institucional,0.95
Fragilidade de certas instituições e desfinanciamento estratégico de prioridades no Brasil,Fragilidade institucional e desfinanciamento,Institucional,0.95
Múltiplas desigualdades no Brasil,Múltiplas desigualdades sociais,Social,0.98
Necessidade de reativar a Comissão Nacional para os Objetivos de Desenvolvimento Sustentável (CNODS),Fortalecimento da governança ODS,Institucional,0.95
Necessidade de revogar o teto de gastos imposto pela EC 95,Restrições fiscais e teto de gastos,Econômico,0.95
Negação da ciência e negligência ambiental pelo Governo Federal,Negação da ciência e negligência ambiental,Político,0.98
Negligência presidencial e falta de capacidade de resposta à COVID-19,Negligência governamental na pandemia,Político,0.98
Perda de credibilidade do Brasil no cenário internacional e fuga de capital,Perda de credibilidade internacional e impacto econômico,Político,0.95
"Políticas aprovadas nos últimos anos que aumentaram a desigualdade (Emenda Constitucional 95/2016, Reforma Trabalhista, Reforma da Previdência)",Políticas que aumentam a desigualdade,Econômico,0.95
"Redução dos gastos públicos em serviços essenciais (saúde, educação, proteção social)",Redução de gastos em serviços essenciais,Econômico,0.98
